,c_id,comment_author,thread_id,comment_date,CLASS
374,c2096741559,breannadrew,a20540835,12/26/2009,1
375,c2096930219,lifescholar,a231315,12/27/2009,1
376,c2097506336,trutherf101,a20596385,12/29/2009,1
377,c2097537408,frodopup,a20596385,12/29/2009,-1
378,c2097605816,Cinder4320,a20596385,12/29/2009,-1
379,c2097728445,christyma24,a20653355,12/30/2009,1
380,c2097804430,Prettymags,a20479705,12/30/2009,1
381,c2098840133,JJandJill,a20878635,01/02/2010,1
382,c2099180121,lovesweetlove,a20942925,01/03/2010,1
383,c2099181487,laurenvanwag,a20942925,01/03/2010,-1
384,c2100364558,Babunsanti,a21140983,01/07/2010,-1
385,c2100643374,OeltjenBaby,a21152509,01/07/2010,1
386,c2100643442,Hausberg_kids,a21152509,01/07/2010,-1
387,c2101009357,jonesfamily03,a21141089,01/08/2010,-1
388,c2101738736,CC_Aydens_Mommy,a21187309,01/11/2010,-1
389,c2101971811,AALP,a21193429,01/11/2010,-1
390,c2102651601,peachykeen483,a21222411,01/13/2010,-1
391,c2102708910,MommyLisa_10,a21222411,01/13/2010,-1
392,c2102786195,Kelly3599,a21225939,01/13/2010,1
393,c2102814965,xxmolly3xx,a21222411,01/13/2010,-1
394,c2103142046,okie25,a21216069,01/14/2010,-1
395,c2103525233,young_mommy3,a21251433,01/15/2010,-1
396,c2104160187,Allison236,a21272231,01/17/2010,-1
397,c2105084187,MrsChopperDr,a21302761,01/20/2010,-1
398,c2105126356,onecent6,a21308669,01/20/2010,1
399,c2105199626,peanut3nc,a21307229,01/20/2010,-1
400,c2105498321,pippi30,a21321279,01/21/2010,1
401,c2107562478,aidamone,a21372317,01/25/2010,1
402,c2107618249,bermibaby29,a21378535,01/25/2010,-1
403,c2107626295,Elissameck,a21372317,01/25/2010,1
404,c2107828928,bermibaby29,a21378535,01/26/2010,-1
405,c2108032293,cadorman060610,a21333431,01/26/2010,1
406,c2108779361,GTIR32,a21398759,01/27/2010,-1
407,c2108781171,MrsCayne,a21400693,01/27/2010,1
